date,stock,action,price,quantity,cash_remaining
20250106,000963.SZ,buy,32.80656,1000,67183.59803200001
20250106,300815.SZ,buy,14.632926000000001,2200,34981.50310084001
20250106,601156.SH,buy,16.633326,2000,1704.8711052400104
20250107,000963.SZ,sell,31.64367,1000,33339.048004240016
20250108,600938.SH,buy,29.115821999999998,1100,1302.035582980021
20250110,601156.SH,sell,16.066786,2000,33425.96751138002
20250113,603393.SH,buy,27.375474,600,16995.75552606002
20250113,601088.SH,buy,38.897778,400,1431.976592700019
20250120,600938.SH,sell,28.404318,1100,32667.35296776002
20250120,601088.SH,sell,38.732252,400,48155.60589752002
20250123,600938.SH,buy,27.605520000000002,1700,1212.1430823200208
20250205,603393.SH,sell,29.14417,600,18693.399131720023
20250207,601156.SH,buy,14.862972,1200,852.4820618000231
20250217,600938.SH,sell,26.544690000000003,1700,45964.91726990003
20250220,603393.SH,buy,28.335665999999996,1600,614.2505502200365
20250220,601156.SH,sell,14.337132,1200,17813.64758270004
20250224,600426.SH,buy,20.25405,200,13761.62233970004
20250226,601156.SH,buy,13.992798,900,1164.3260842400396
20250227,300815.SZ,sell,16.356728,2200,37138.332243760044
20250304,300815.SZ,buy,16.023204,2300,273.9070330000468
20250312,603393.SH,sell,30.083982,1600,48393.83792164005
20250313,600426.SH,sell,21.64567,200,52721.67318144005
20250314,601021.SH,buy,51.970392,1000,735.6900638400475
20250314,300815.SZ,sell,17.276544,2300,40459.82044848005
20250317,300815.SZ,buy,17.85357,2200,1170.183092280051
20250319,300815.SZ,sell,17.816436,2200,40354.58344452005
20250321,601021.SH,sell,51.38972,1000,91728.88652852006
20250324,000963.SZ,buy,33.866772,900,61239.647700080066
20250324,601088.SH,buy,37.127424,800,31528.79791832007
20250324,603393.SH,buy,29.935986,1000,1583.8311225200705
20250328,601088.SH,sell,37.822434,800,31832.700938360074
20250328,603393.SH,sell,29.994,1000,61817.70273836008
20250331,000963.SZ,sell,36.692660000000004,900,94831.18972016008
20250401,600938.SH,buy,26.525304,3500,1964.7741509600892
20250403,601156.SH,sell,13.887222000000001,900,14459.524401020091
20250403,600938.SH,sell,25.674864,3500,104294.58979382011
20250410,000807.SZ,buy,14.732946,3500,52713.80920052011
20250410,000963.SZ,buy,36.827364,1400,1140.0321076401087
20250416,000807.SZ,sell,14.027194,3500,50220.482553940106
20250417,000963.SZ,sell,36.822634,1400,101756.70464766011
20250423,601919.SH,buy,14.272853999999999,7100,389.0400686401117
20250516,601919.SH,sell,16.04679,7100,114287.06940594013
20250520,603613.SH,buy,24.214842,4700,443.1690787201369
20250523,603613.SH,sell,23.375324,4700,110274.23267188013
20250526,601156.SH,buy,12.942587999999999,8500,229.23107248015003
20250731,601156.SH,sell,14.077184,8500,119849.39825328016
20250801,605117.SH,buy,51.960390000000004,1100,62675.82232458016
20250801,000807.SZ,buy,15.683136,3800,3062.0267495401567
20250806,600426.SH,buy,23.684736,100,692.8426074601566
20250812,605117.SH,sell,52.059586,1100,57941.207544080164
20250818,600861.SH,buy,20.794158,2700,1780.1376761001666
20250818,000807.SZ,sell,17.316536,3800,67563.23362506015
20250818,600426.SH,sell,24.015196,100,69964.03276918015
20250821,603393.SH,buy,30.486096,2200,2874.5007458201435
20250827,603393.SH,sell,30.463905999999998,2200,69874.98776786013
20250829,000963.SZ,buy,44.308859999999996,1500,3391.7587808601384
20250903,600861.SH,sell,19.996000000000002,2700,57364.762020860144
20250904,603393.SH,buy,28.85577,1900,2522.3512319601505
20250904,000963.SZ,sell,42.541489999999996,1500,66315.44256146014
20250905,000807.SZ,buy,19.183836,1700,33693.137605100135
20250905,603613.SH,buy,28.70574,1100,2107.3507109001366
20250910,000807.SZ,sell,18.576283999999998,1700,33677.55960606013
20250911,603613.SH,sell,31.89362,1100,68750.01671146014
20250916,601021.SH,buy,53.5107,600,36633.964785460135
20250916,603613.SH,buy,32.966592,1000,3657.482807860142
